a11y-profile-manager-indicator	0.1.11-0ubuntu4
account-plugin-facebook	0.12+16.04.20160126-0ubuntu1
account-plugin-flickr	0.12+16.04.20160126-0ubuntu1
account-plugin-google	0.12+16.04.20160126-0ubuntu1
accountsservice	0.6.55-0ubuntu12~20.04.7
accountsservice-ubuntu-schemas	0.0.7+17.10.20170922-0ubuntu1
acl	2.2.53-6
acpid	1:2.0.32-1ubuntu1
acpi-support	0.143
activity-log-manager	0.9.7-0ubuntu27
adduser	3.118ubuntu2
adium-theme-ubuntu	0.3.4-0ubuntu4
adwaita-icon-theme	3.36.1-2ubuntu0.20.04.2
aisleriot	1:3.22.9-1
alsa-base	1.0.25+dfsg-0ubuntu5
alsa-topology-conf	1.2.2-1
alsa-ucm-conf	1.2.2-1ubuntu0.13
alsa-utils	1.2.2-1ubuntu2.1
amd64-microcode	3.20191218.1ubuntu1.3
anacron	2.3-29
apg	2.2.3.dfsg.1-5
apparmor	2.13.3-7ubuntu5.4
app-install-data	15.10
app-install-data-partner	19.04
appmenu-qt5	0.3.0+16.04.20170216-0ubuntu1
apport	2.20.11-0ubuntu27.30
apport-gtk	2.20.11-0ubuntu27.30
apport-symptoms	0.23
appstream	0.12.10-2
apt	2.0.10
apt-config-icons	0.12.10-2
apt-config-icons-hidpi	0.12.10-2
aptdaemon	1.1.1+bzr982-0ubuntu32.3
aptdaemon-data	1.1.1+bzr982-0ubuntu32.3
apt-transport-https	2.0.10
apturl	0.5.2ubuntu19
apturl-common	0.5.2ubuntu19
apt-utils	2.0.10
aspell	0.60.8-1ubuntu0.1
aspell-en	2018.04.16-0-1
at-spi2-core	2.36.0-2
attr	1:2.4.48-5
aufs-tools	1:4.14+20190211-1ubuntu1
augeas-lenses	1.12.0-1build1
autoconf	2.69-11.1
automake	1:1.16.1-4ubuntu6
autotools-dev	20180224.1
avahi-autoipd	0.7-4ubuntu7.3
avahi-daemon	0.7-4ubuntu7.3
avahi-utils	0.7-4ubuntu7.3
bamfdaemon	0.5.3+18.04.20180207.2-0ubuntu2
baobab	3.34.0-1
base-files	11ubuntu5.8
base-passwd	3.5.47
bash	5.0-6ubuntu1.2
bash-completion	1:2.10-1ubuntu1
bc	1.07.1-2build1
bind9-dnsutils	1:9.18.30-0ubuntu0.20.04.2
bind9-host	1:9.18.30-0ubuntu0.20.04.2
bind9-libs:amd64	1:9.18.30-0ubuntu0.20.04.2
binutils	2.34-6ubuntu1.11
binutils-common:amd64	2.34-6ubuntu1.11
binutils-x86-64-linux-gnu	2.34-6ubuntu1.11
blt	2.5.3+dfsg-4
bluez	5.53-0ubuntu3.9
bluez-cups	5.53-0ubuntu3.9
bluez-obexd	5.53-0ubuntu3.9
bolt	0.9.1-2~ubuntu20.04.2
branding-ubuntu	0.10
bridge-utils	1.6-2ubuntu1
brltty	6.0+dfsg-4ubuntu6
bsdmainutils	11.1.2ubuntu3
bsdutils	1:2.34-0.1ubuntu9.6
btrfs-progs	5.4.1-2
bubblewrap	0.4.0-1ubuntu4.1
build-essential	12.8ubuntu1.1
busybox-initramfs	1:1.30.1-4ubuntu6.5
busybox-static	1:1.30.1-4ubuntu6.5
bzip2	1.0.8-2
bzip2-doc	1.0.8-2
ca-certificates	20240203~20.04.1
cadvisor	0.20.5+dfsg-1
cgroupfs-mount	1.4
cgroup-tools	0.41-10
cheese	3.34.0-1ubuntu1
cheese-common	3.34.0-1ubuntu1
cinnamon-l10n	4.4.2-2
cloud-image-utils	0.31-7-gd99b2d76-0ubuntu1
colord	1.4.4-2
colord-data	1.4.4-2
command-not-found	20.04.6
compiz-core	1:0.9.14.1+20.04.20220820-0ubuntu1
compiz-plugins-default:amd64	1:0.9.14.1+20.04.20220820-0ubuntu1
conntrack	1:1.4.5-2
console-setup	1.194ubuntu3
console-setup-linux	1.194ubuntu3
coreutils	8.30-3ubuntu2
cpio	2.13+dfsg-2ubuntu0.4
cpp	4:9.3.0-1ubuntu2
cpp-7	7.5.0-6ubuntu2
cpp-9	9.4.0-1ubuntu1~20.04.2
cpu-checker	0.7-1.1
cracklib-runtime	2.9.6-3.2
crda	3.18-1build1
cri-tools	1.24.0-00
cron	3.0pl1-136ubuntu1
cryptsetup-bin	2:2.2.2-3ubuntu2.5
cups	2.3.1-9ubuntu1.9
cups-browsed	1.27.4-1ubuntu0.4
cups-bsd	2.3.1-9ubuntu1.9
cups-client	2.3.1-9ubuntu1.9
cups-common	2.3.1-9ubuntu1.9
cups-core-drivers	2.3.1-9ubuntu1.9
cups-daemon	2.3.1-9ubuntu1.9
cups-filters	1.27.4-1ubuntu0.4
cups-filters-core-drivers	1.27.4-1ubuntu0.4
cups-ipp-utils	2.3.1-9ubuntu1.9
cups-pk-helper	0.2.6-1ubuntu3
cups-ppdc	2.3.1-9ubuntu1.9
cups-server-common	2.3.1-9ubuntu1.9
curl	7.68.0-1ubuntu2.25
dash	0.5.10.2-6
db5.3-util	5.3.28+dfsg1-0.6ubuntu2
dbus	1.12.16-2ubuntu2.3
dbus-user-session	1.12.16-2ubuntu2.3
dbus-x11	1.12.16-2ubuntu2.3
db-util	1:5.3.21~exp1ubuntu2
dc	1.07.1-2build1
dconf-cli	0.36.0-1
dconf-gsettings-backend:amd64	0.36.0-1
dconf-service	0.36.0-1
dctrl-tools	2.24-3
debconf	1.5.73
debconf-i18n	1.5.73
debianutils	4.9.1
debootstrap	1.0.118ubuntu1.11
deja-dup	40.7-0ubuntu2
desktop-file-utils	0.24-1ubuntu3
dh-python	4.20191017ubuntu7
dictionaries-common	1.28.1
diffutils	1:3.7-3
dirmngr	2.2.19-3ubuntu2.5
distro-info	0.23ubuntu1.1
distro-info-data	0.43ubuntu1.18
dkms	2.8.1-5ubuntu2
dmeventd	2:1.02.167-1ubuntu1
dmidecode	3.2-3
dmsetup	2:1.02.167-1ubuntu1
dmz-cursor-theme	0.4.5ubuntu1
dnsmasq-base	2.90-0ubuntu0.20.04.1
dns-root-data	2024071801~ubuntu0.20.04.1
dnsutils	1:9.18.30-0ubuntu0.20.04.2
doc-base	0.10.9
docbook-xml	4.5-9
docker-ce	18.06.3~ce~3-0~ubuntu
dosfstools	4.1-2
dpkg	1.19.7ubuntu3.2
dpkg-dev	1.19.7ubuntu3.2
duplicity	0.8.11.1612-1
e2fslibs:amd64	1.45.5-2ubuntu1.2
e2fsprogs	1.45.5-2ubuntu1.2
e2fsprogs-l10n	1.45.5-2ubuntu1.2
ebtables	2.0.11-3build1
ed	1.16-1
efibootmgr	17-1
eject	2.1.5+deb1+cvs20081104-14
emacsen-common	3.0.4
enchant-2	2.2.8-1ubuntu0.20.04.1
eog	3.36.3-0ubuntu1
espeak-ng-data:amd64	1.50+dfsg-6ubuntu0.1
ethtool	1:5.4-1
evince	3.36.10-0ubuntu1
evince-common	3.36.10-0ubuntu1
evolution-data-server	3.36.5-0ubuntu1
evolution-data-server-common	3.36.5-0ubuntu1
example-content	51
exfat-fuse	1.3.0-1
exfat-utils	1.3.0-1
extlinux	3:6.04~git20190206.bf6db5b4+dfsg1-2
f2fs-tools	1.11.0-1.1ubuntu1
fakeroot	1.24-1
fdisk	2.34-0.1ubuntu9.6
file	1:5.38-4
file-roller	3.36.3-0ubuntu1.1
finalrd	6~ubuntu20.04.1
findutils	4.7.0-1ubuntu1
firefox	136.0+build3-0ubuntu0.20.04.1
firefox-locale-en	136.0+build3-0ubuntu0.20.04.1
fontconfig	2.13.1-2ubuntu3
fontconfig-config	2.13.1-2ubuntu3
fonts-beng	2:1.2
fonts-beng-extra	1.0-7
fonts-dejavu-core	2.37-1
fonts-deva	2:1.2
fonts-deva-extra	3.0-5
fonts-droid-fallback	1:6.0.1r16-1.1
fonts-freefont-ttf	20120503-10
fonts-gargi	2.0-4
fonts-gubbi	1.3-3
fonts-gujr	2:1.3
fonts-gujr-extra	1.0.1-1
fonts-guru	2:1.2
fonts-guru-extra	2.0-5
fonts-indic	2:1.3
fonts-kacst	2.01+mry-14
fonts-kacst-one	5.0+svn11846-10
fonts-kalapi	1.0-3
fonts-khmeros-core	5.0-7ubuntu1
fonts-knda	2:1.2
fonts-lao	0.0.20060226-9ubuntu1
fonts-lato	2.0-2
fonts-liberation	1:1.07.4-11
fonts-liberation2	2.1.0-1
fonts-lklug-sinhala	0.6-3
fonts-lohit-beng-assamese	2.91.5-1
fonts-lohit-beng-bengali	2.91.5-1
fonts-lohit-deva	2.95.4-4
fonts-lohit-gujr	2.92.4-4
fonts-lohit-guru	2.91.2-1
fonts-lohit-knda	2.5.4-2
fonts-lohit-mlym	2.92.2-1
fonts-lohit-orya	2.91.2-1
fonts-lohit-taml	2.91.3-1
fonts-lohit-taml-classical	2.5.4-1
fonts-lohit-telu	2.5.5-1
fonts-mlym	2:1.2
fonts-nakula	1.0-3
fonts-nanum	20180306-3
fonts-navilu	1.2-2
fonts-noto-cjk	1:20190410+repack1-2
fonts-noto-color-emoji	0~20200916-1~ubuntu20.04.1
fonts-noto-mono	20200323-1build1~ubuntu20.04.1
fonts-opensymbol	2:102.11+LibO6.4.7-0ubuntu0.20.04.15
fonts-orya	2:1.2
fonts-orya-extra	2.0-6
fonts-pagul	1.0-7
fonts-sahadeva	1.0-4
fonts-samyak-deva	1.2.2-4
fonts-samyak-gujr	1.2.2-4
fonts-samyak-mlym	1.2.2-4
